family,bucket,n,delta,ci_low,ci_high,p_wilcoxon,win,loss,tie
hybrid,all,301,-0.0013,-0.0217,0.0187,0.8536,52,47,202
hybrid,1-2,250,-0.0094,-0.0331,0.0140,0.3827,37,43,170
hybrid,3-4,46,0.0391,0.0033,0.0772,0.0140,13,4,29
cross,all,298,-0.0075,-0.0332,0.0180,0.4737,45,54,199
cross,1-2,248,-0.0154,-0.0447,0.0137,0.1758,33,48,167
cross,3-4,45,0.0322,-0.0189,0.0878,0.1712,10,5,30
ppr,all,296,-0.0136,-0.0343,0.0063,0.2507,39,47,210
ppr,1-2,245,-0.0177,-0.0417,0.0059,0.1735,33,45,167
ppr,3-4,46,0.0043,-0.0272,0.0337,0.5527,5,2,39
dense,all,301,0.0022,-0.0194,0.0231,0.8140,46,48,207
dense,1-2,250,0.0006,-0.0239,0.0251,0.9393,37,42,171
dense,3-4,46,0.0076,-0.0380,0.0543,0.7768,7,6,33
